name,version,file,integrity,url
"@alloc/quick-lru","5.2.0","tarballs/alloc__quick-lru-5.2.0.tgz","sha512-UrcABB+4bUrFABwbluTIBErXwvbsU/V7TZWfmbgJfbkwiBuziS9gxdODUyuiecfdGQ85jglMW6juS3+z5TsKLw==","https://registry.npmjs.org/@alloc/quick-lru/-/quick-lru-5.2.0.tgz"
"@babel/code-frame","7.29.7","tarballs/babel__code-frame-7.29.7.tgz","sha512-Aup7aUOfpbAUg2ROOJN6Iw5f9DMBlzu0mIkm/malLQFN/YQgO48wCj0Kxa3sEHJvPVFg7siR+qRInwXd2qhQKw==","https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.7.tgz"
"@babel/compat-data","7.29.7","tarballs/babel__compat-data-7.29.7.tgz","sha512-locTkQyKvwIEgBzVrn8693ebc97F2U8ZHjbXwDXJ5Fn2TCpNwTlKcaKLkdHop5c/icOFE7qt7Q9JC5hnKNa6Gg==","https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.29.7.tgz"
"@babel/core","7.29.7","tarballs/babel__core-7.29.7.tgz","sha512-RgHBCvtjbOK2gXSNBNIkNoEc9qoVEtau3hj8gEqKQuL3HZAibKarWFEI3Lfm6EYKkLalOh8eSrj9b+ch9H/VBA==","https://registry.npmjs.org/@babel/core/-/core-7.29.7.tgz"
"@babel/generator","7.29.7","tarballs/babel__generator-7.29.7.tgz","sha512-DkXD5OJQaAQIdZ1bt3UZdEnHAn9Imd3IVBdX03UFe+ony9Ojw5pzr9YVKGDY1jt+Gcn/FnGkNf8r+Vj5NOJWtQ==","https://registry.npmjs.org/@babel/generator/-/generator-7.29.7.tgz"
"@babel/helper-compilation-targets","7.29.7","tarballs/babel__helper-compilation-targets-7.29.7.tgz","sha512-wem6WaBj4NaVYVdNhLPPVacES6ZJ+KBBfSkTMD3YZxbP3rm3Di85tJU5ljaUNhaOynt+Aj0xruhYuzQBt8n71g==","https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.29.7.tgz"
"@babel/helper-globals","7.29.7","tarballs/babel__helper-globals-7.29.7.tgz","sha512-3nQVUAtvkKH9zahfWgw96Jc/uFOmjACE1kQz82E2lqWmHBgjzbNlsC22nuQTfahmWeQtTq5nQ/4Nnd2A1wj4zA==","https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.29.7.tgz"
"@babel/helper-module-imports","7.29.7","tarballs/babel__helper-module-imports-7.29.7.tgz","sha512-ejHwrQQYcm9xnTivShn2IDOlIzInN34AXskvq9QicvCtEzq1Vzclu/tKF8Jq1Cg8JG2GL6/EmjgsCT7lXepE3g==","https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.29.7.tgz"
"@babel/helper-module-transforms","7.29.7","tarballs/babel__helper-module-transforms-7.29.7.tgz","sha512-UPUVSyXbOh627KiCIGQSgwWzGeBKLkaJ9PJEdrngIwMSzxLR4jS4+f1f1jb7VzBbg8nFLaYotvVPFCTqdrmTAg==","https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.29.7.tgz"
"@babel/helper-string-parser","7.29.7","tarballs/babel__helper-string-parser-7.29.7.tgz","sha512-Pb5ijPrZ89GDH8223L4UP8i6QApWxs04RbPQJTeWDV0/keR2E36MeKnyr6LYmUUvqRRI+Iv87SuF1W6ErINzYw==","https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.29.7.tgz"
"@babel/helper-validator-identifier","7.29.7","tarballs/babel__helper-validator-identifier-7.29.7.tgz","sha512-qehxGkRj55h/ff8EMaJ+cYhyaKlHIxqYDn682wQD7RNp9UujOQsHog2uS0r2vzr4pW+sXf90NeeayjcNaX3fFg==","https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz"
"@babel/helper-validator-option","7.29.7","tarballs/babel__helper-validator-option-7.29.7.tgz","sha512-N9ZErrD+yW5geCDtBqnOoxmR8+tNKiGuxKlDpuJxfsqpa2dFcexaziGAE/qoHLiDDreVNMupxGmSoNlyvsA3gw==","https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.29.7.tgz"
"@babel/helpers","7.29.7","tarballs/babel__helpers-7.29.7.tgz","sha512-1k2lAGRMfHTcwuNYcCNUmaUffmQv8KWMfh2iJUUeRlwlwH4FdNG7mfPI10NPfLHJFThE4Tyr4mv7kTNZOiPuBg==","https://registry.npmjs.org/@babel/helpers/-/helpers-7.29.7.tgz"
"@babel/parser","7.29.7","tarballs/babel__parser-7.29.7.tgz","sha512-hnORnjP/1P/zFEndoeX+n+t1RwWRJiJpM/jO7FW32Kn9r5+sJB2JWOdYo4L6k78j15eCwY3Gm/7364B1EMwtNg==","https://registry.npmjs.org/@babel/parser/-/parser-7.29.7.tgz"
"@babel/template","7.29.7","tarballs/babel__template-7.29.7.tgz","sha512-puq+Gf35oI24FeN11LkoUQFqv9uwNeWpxXZi/Ji3rRIoKAzKnxRaZ+Gkj0vKS9ZCiTESfng1N9LyOyXvo+m+Gg==","https://registry.npmjs.org/@babel/template/-/template-7.29.7.tgz"
"@babel/traverse","7.29.7","tarballs/babel__traverse-7.29.7.tgz","sha512-EhlfNQtZ+NK22w5BM61ciuiq1m58ed33Wr1Xan//ZRTy6hgjnwyCffRYwzsGXdASJSUJ1guZILsErh1eQcl+zw==","https://registry.npmjs.org/@babel/traverse/-/traverse-7.29.7.tgz"
"@babel/types","7.29.7","tarballs/babel__types-7.29.7.tgz","sha512-4zBIxpPzowiZpusoFkyGVwakdRJUyuH5PxQ/PrqghfdFWWasvnCdPfQXHrenDai+gyLARulZjZowCOj6fjT4pA==","https://registry.npmjs.org/@babel/types/-/types-7.29.7.tgz"
"@cloudflare/kv-asset-handler","0.5.0","tarballs/cloudflare__kv-asset-handler-0.5.0.tgz","sha512-jxQYkj8dSIzc0cD6cMMNdOc1UVjqSqu8BZdor5s8cGjW2I8BjODt/kWPVdY+u9zj3ms75Q5qaZgnxUad83+eAg==","https://registry.npmjs.org/@cloudflare/kv-asset-handler/-/kv-asset-handler-0.5.0.tgz"
"@cloudflare/unenv-preset","2.16.1","tarballs/cloudflare__unenv-preset-2.16.1.tgz","sha512-ECxObrMfyTl5bhQf/lZCXwo5G6xX9IAUo+nDMKK4SZ8m4Jvvxp52vilxyySSWh2YTZz8+HQ07qGH/2rEom1vDw==","https://registry.npmjs.org/@cloudflare/unenv-preset/-/unenv-preset-2.16.1.tgz"
"@cloudflare/vite-plugin","1.37.1","tarballs/cloudflare__vite-plugin-1.37.1.tgz","sha512-FldhsmkXyLsX3yI+p0aJDo/kGyY69pDdynz2JjcuH3eCiQ+G9XaY3CrN+UYEfCbWv8CiR2wL95lNg0fT/HfwWA==","https://registry.npmjs.org/@cloudflare/vite-plugin/-/vite-plugin-1.37.1.tgz"
